bioID,year,stint_y,total_award_score,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won_team,lost_team,GP_x,homeW,homeL,awayW,awayL,confW,confL,W,L,coachID,stint_x,won_coach,lost_coach,post_wins,post_losses,GP_y,GS,PostGP,PostGS,weighted_score,post_weighted_score,playoffNextYear,prev_bioID,prev_stint_y,prev_total_award_score,prev_franchID,prev_confID,prev_rank,prev_firstRound,prev_semis,prev_finals,prev_won_team,prev_lost_team,prev_GP_x,prev_homeW,prev_homeL,prev_awayW,prev_awayL,prev_confW,prev_confL,prev_W,prev_L,prev_coachID,prev_stint_x,prev_won_coach,prev_lost_coach,prev_post_wins,prev_post_losses,prev_GP_y,prev_GS,prev_PostGP,prev_PostGS,prev_weighted_score,prev_post_weighted_score,prev_playoffNextYear
brungje01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,33,0,8,0,116.25000000000001,31.450000000000003,1.0,blackde01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,31.0,4.0,8.0,0.0,124.25,24.849999999999994,1.0
derevje01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,23,0,1,0,48.05,0.2,1.0,brungje01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,33.0,0.0,8.0,0.0,116.25000000000001,31.450000000000003,1.0
douglka01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,34,34,8,8,534.2,124.7,1.0,derevje01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,23.0,0.0,1.0,0.0,48.05,0.2,1.0
futreca01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,20,0,2,0,67.70000000000002,1.6500000000000001,1.0,douglka01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,34.0,34.0,8.0,8.0,534.2,124.7,1.0
jonesas01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,34,1,8,0,323.35,73.44999999999999,1.0,futreca01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,20.0,0.0,2.0,0.0,67.70000000000002,1.6500000000000001,1.0
mcwilta01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,34,34,8,8,566.25,121.64999999999999,1.0,jonesas01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,34.0,1.0,8.0,0.0,323.35,73.44999999999999,1.0
palmewe01w,5,0,5.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,33,33,8,8,400.85,68.95,1.0,mcwilta01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,34.0,34.0,8.0,8.0,566.25,121.64999999999999,1.0
salesny01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,34,34,8,8,608.45,144.69999999999996,1.0,palmewe01w,0.0,5.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,33.0,33.0,8.0,8.0,400.85,68.95,1.0
whaleli01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,31,30,8,8,420.25000000000006,137.15,1.0,salesny01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,34.0,34.0,8.0,8.0,608.45,144.69999999999996,1.0
willile01w,5,0,0.0,CON,CON,EA,1,1,W,W,L,18,16,34,10,7,8,9,14,6,5.0,3.0,thibami99w,0,18,16,5,3,23,0,8,0,89.45,27.1,1.0,whaleli01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,31.0,30.0,8.0,8.0,420.25000000000006,137.15,1.0
brungje01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,12,0,0,0,13.25,0.0,1.0,willile01w,0.0,0.0,CON,EA,1.0,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,5.0,3.0,thibami99w,0.0,18.0,16.0,5.0,3.0,23.0,0.0,8.0,0.0,89.45,27.1,1.0
careyja01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,15,0,6,0,33.24999999999999,20.0,1.0,brungje01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,12.0,0.0,0.0,0.0,13.25,0.0,1.0
derevje01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,34,1,8,1,106.1,24.599999999999998,1.0,careyja01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,15.0,0.0,6.0,0.0,33.24999999999999,20.0,1.0
douglka01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,32,32,8,8,491.6,137.0,1.0,derevje01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,34.0,1.0,8.0,1.0,106.1,24.599999999999998,1.0
dydekma01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,31,30,8,8,346.1000000000001,65.35000000000001,1.0,douglka01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,32.0,32.0,8.0,8.0,491.6,137.0,1.0
jonesas01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,33,4,8,0,353.35,88.2,1.0,dydekma01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,31.0,30.0,8.0,8.0,346.1000000000001,65.35000000000001,1.0
mcwilta01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,34,34,8,8,587.7500000000001,159.1,1.0,jonesas01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,33.0,4.0,8.0,0.0,353.35,88.2,1.0
salesny01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,34,34,8,8,610.6500000000001,148.24999999999997,1.0,mcwilta01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,34.0,34.0,8.0,8.0,587.7500000000001,159.1,1.0
summela01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,11,0,2,0,18.700000000000003,0.4,1.0,salesny01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,34.0,34.0,8.0,8.0,610.6500000000001,148.24999999999997,1.0
whaleli01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,34,34,7,7,540.2499999999999,107.44999999999997,1.0,summela01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,11.0,0.0,2.0,0.0,18.700000000000003,0.4,1.0
willile01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,18,0,3,0,37.35,3.9000000000000004,1.0,whaleli01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,34.0,34.0,7.0,7.0,540.2499999999999,107.44999999999997,1.0
wyckobr01w,6,0,0.0,CON,CON,EA,1,1,W,W,W,26,8,34,14,3,12,5,13,7,5.0,3.0,thibami99w,0,26,8,5,3,34,1,8,0,230.29999999999998,40.1,1.0,willile01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,18.0,0.0,3.0,0.0,37.35,3.9000000000000004,1.0
anderam01w,7,1,0.0,CON,CON,EA,1,1,W,L,,26,8,34,14,3,12,5,15,5,3.0,2.0,thibami99w,0,26,8,3,2,1,0,0,0,0.7,0.0,1.0,wyckobr01w,0.0,0.0,CON,EA,1.0,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,5.0,3.0,thibami99w,0.0,26.0,8.0,5.0,3.0,34.0,1.0,8.0,0.0,230.29999999999998,40.1,1.0
farriba01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,34,0,8,0,208.85000000000002,51.45000000000001,1.0,cashsw01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,33.0,33.0,8.0,8.0,636.45,159.15,1.0
fordch01w,4,0,5.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,32,32,8,8,497.1,114.05000000000001,1.0,farriba01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,34.0,0.0,8.0,0.0,208.85000000000002,51.45000000000001,1.0
hollake01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,34,2,8,0,371.65000000000015,82.0,1.0,fordch01w,0.0,5.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,32.0,32.0,8.0,8.0,497.1,114.05000000000001,1.0
lambesh01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,27,1,7,0,101.2,6.1000000000000005,1.0,hollake01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,34.0,2.0,8.0,0.0,371.65000000000015,82.0,1.0
mooreta01w,4,1,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,15,0,0,0,29.90000000000001,0.0,1.0,lambesh01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,27.0,1.0,7.0,0.0,101.2,6.1000000000000005,1.0
ndiayas01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,11,2,2,0,27.550000000000004,2.4000000000000004,1.0,mooreta01w,1.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,15.0,0.0,0.0,0.0,29.90000000000001,0.0,1.0
nolande01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,32,32,8,8,498.50000000000006,146.70000000000002,1.0,ndiayas01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,11.0,2.0,2.0,0.0,27.550000000000004,2.4000000000000004,1.0
powelel01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,33,33,8,8,427.80000000000007,88.25,1.0,nolande01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,32.0,32.0,8.0,8.0,498.50000000000006,146.70000000000002,1.0
rileyru01w,4,0,8.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,34,34,8,8,480.2499999999999,138.09999999999997,1.0,powelel01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,33.0,33.0,8.0,8.0,427.80000000000007,88.25,1.0
thomast01w,4,2,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,11,0,4,0,33.95,3.400000000000001,1.0,rileyru01w,0.0,8.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,34.0,34.0,8.0,8.0,480.2499999999999,138.09999999999997,1.0
ujhelpe01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,14,0,0,0,18.200000000000003,0.0,1.0,thomast01w,2.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,11.0,0.0,4.0,0.0,33.95,3.400000000000001,1.0
walkeay01w,4,0,0.0,DET,DET,EA,1,1,W,W,W,25,9,34,13,4,12,5,18,6,6.0,2.0,laimbbi01w,0,25,9,6,2,34,1,4,0,112.7,10.65,1.0,ujhelpe01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,14.0,0.0,0.0,0.0,18.200000000000003,0.0,1.0
carteam01w,5,0,0.0,DET,DET,EA,3,1,L,,,17,17,34,8,9,9,8,11,9,1.0,2.0,laimbbi01w,0,17,17,1,2,2,0,0,0,4.450000000000001,0.0,1.0,walkeay01w,0.0,0.0,DET,EA,1.0,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6.0,2.0,laimbbi01w,0.0,25.0,9.0,6.0,2.0,34.0,1.0,4.0,0.0,112.7,10.65,1.0
braxtka01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,34,1,10,0,195.35000000000002,63.000000000000014,1.0,batteja01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,26.0,1.0,4.0,0.0,70.44999999999999,2.4,1.0
cashsw01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,34,34,10,10,484.40000000000003,121.15000000000002,1.0,braxtka01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,34.0,1.0,10.0,0.0,195.35000000000002,63.000000000000014,1.0
fordch01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,32,32,10,10,572.85,172.79999999999998,1.0,cashsw01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,34.0,34.0,10.0,10.0,484.40000000000003,121.15000000000002,1.0
hollake01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,34,0,8,0,194.74999999999997,9.400000000000002,1.0,fordch01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,32.0,32.0,10.0,10.0,572.85,172.79999999999998,1.0
nolande01w,7,0,8.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,34,34,10,10,584.5500000000001,197.20000000000002,1.0,hollake01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,34.0,0.0,8.0,0.0,194.74999999999997,9.400000000000002,1.0
osipoir01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,2,0,9,0,3.9500000000000006,39.850000000000016,1.0,nolande01w,0.0,8.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,34.0,34.0,10.0,10.0,584.5500000000001,197.20000000000002,1.0
paliesa01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,11,0,0,0,19.55,0.0,1.0,osipoir01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,2.0,0.0,9.0,0.0,3.9500000000000006,39.850000000000016,1.0
pierspl01w,7,0,0.0,DET,DET,EA,2,1,W,W,W,23,11,34,14,3,9,8,14,6,7.0,3.0,laimbbi01w,0,23,11,7,3,34,0,10,0,293.65,115.95,1.0,paliesa01w,0.0,0.0,DET,EA,2.0,W,W,W,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,7.0,3.0,laimbbi01w,0.0,23.0,11.0,7.0,3.0,11.0,0.0,0.0,0.0,19.55,0.0,1.0
