franchID,year,playoff_next_year,playoff,coachID,final_score,final_score_rolling_3
SAC,4,1.0,1,mchugma99w,1040.2150000000001,2930.235
SAC,5,1.0,1,whisejo99w,1035.255,2984.1800000000003
SAC,6,1.0,1,whisejo99w,1031.52,3004.2700000000004
SAC,7,1.0,1,whisejo99w,935.0600000000001,3106.99
SAC,8,1.0,1,bouceje01w,983.6000000000001,3001.835
SAC,9,1.0,1,bouceje01w,976.635,2950.1800000000003
SAC,10,0.0,0,bouceje01w,946.6199999999999,2895.295
SAS,1,0.0,0,willifr99w,963.8399999999999,
SAS,2,1.0,1,harveca99w,947.3199999999999,963.8399999999999
SAS,3,1.0,1,harveca99w,1021.3349999999999,1911.1599999999999
SAS,4,0.0,0,dailesh99w,961.245,2932.495
SAS,5,0.0,0,brownde01w,939.9749999999999,2929.8999999999996
SAS,6,0.0,0,hugheda99w,804.7049999999999,2922.555
SAS,7,0.0,0,hugheda99w,840.315,2705.9249999999997
SAS,8,1.0,1,hugheda99w,892.26,2584.995
SAS,9,1.0,1,hugheda99w,997.0350000000001,2537.2799999999997
SAS,10,1.0,1,hugheda99w,775.835,2729.61
SEA,1,0.0,0,dunnli99wc,832.2750000000001,
SEA,2,0.0,0,dunnli99wc,879.87,832.2750000000001
SEA,3,1.0,1,dunnli99wc,953.83,1712.145
SEA,4,0.0,0,donovan99w,1002.7049999999999,2665.9750000000004
SEA,5,1.0,1,donovan99w,1089.6399999999999,2836.4049999999997
SEA,6,1.0,1,donovan99w,1039.0650000000003,3046.175
SEA,7,1.0,1,donovan99w,1076.1450000000002,3131.4100000000003
SEA,8,1.0,1,donovan99w,1105.3999999999999,3204.8500000000004
SEA,9,1.0,1,aglerbr99w,1051.35,3220.6100000000006
SEA,10,1.0,1,aglerbr99w,913.465,3232.895
WAS,1,1.0,1,darscna99w,923.1450000000001,
WAS,2,0.0,0,maherto99w,875.2800000000001,923.1450000000001
WAS,3,1.0,1,stanlma99w,964.63,1798.4250000000002
WAS,4,0.0,0,stanlma99w,985.425,2763.0550000000003
WAS,5,1.0,1,adamsmi01w,1004.95,2825.335
WAS,6,0.0,0,adubari99w,969.24,2955.005
WAS,7,1.0,1,adubari99w,1086.1549999999997,2959.615
WAS,8,0.0,0,adubari99w,1045.305,3060.345
WAS,9,0.0,0,kenlaje99w,979.4100000000001,3100.7
WAS,10,1.0,1,plankju99w,965.1699999999997,3110.87
