bioID,year,stint_y,total_award_score,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won_team,lost_team,GP_x,homeW,homeL,awayW,awayL,confW,confL,W,L,coachID,stint_x,won_coach,lost_coach,post_wins,post_losses,GP_y,GS,PostGP,PostGS,weighted_score,post_weighted_score,playoff_next_year
desouer01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,34,2,2,520.35,27.549999999999997,1.0
holdsch01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,25,25,1,0,392.55,4.75,1.0
lacyje01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,32,0,2,0,158.50000000000003,7.65,1.0
lattaiv01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,24,0,2,2,180.74999999999997,35.6,1.0
lehnish01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,20,0,0,253.80000000000004,0.0,1.0
lyttlsa01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,31,2,2,535.4,24.750000000000004,1.0
mccouan01w,10,0,5.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,10,2,2,470.24999999999994,36.949999999999996,1.0
milleco01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,5,2,0,182.95,6.9,1.0
pricear01w,10,2,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,11,0,2,0,35.00000000000001,15.850000000000001,1.0
snowmi01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,2,2,0,259.8,15.200000000000001,1.0
teaslni01w,10,1,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,10,10,0,0,88.3,0.0,1.0
bauerca01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,29,18,0,0,144.7,0.0,0.0
brazian01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,22,3,0,0,80.45,0.0,0.0
enissh01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,12,9,0,0,173.49999999999997,0.0,0.0
erbsu01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,29,0,0,0,136.95000000000002,0.0,0.0
hillec01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,26,0,0,0,76.39999999999999,0.0,0.0
johnsni01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,6,0,0,0,34.25000000000001,0.0,0.0
jonesla01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,9,0,0,0,24.3,0.0,0.0
mapprh01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,30,30,0,0,463.30000000000007,0.0,0.0
reidtr01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,29,17,0,0,279.05,0.0,0.0
smithch02w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,30,7,0,0,282.24999999999994,0.0,0.0
staleda01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,32,32,0,0,464.40000000000003,0.0,0.0
stinsan01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,32,32,0,0,647.1999999999999,0.0,0.0
traviti01w,1,0,0.0,CHA,CHA,EA,8,0,,,,8,24,32,5,11,3,13,5,16,,,dunntr01wc,0,8,24,0,0,32,12,0,0,253.45000000000005,0.0,1.0
anderke01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,18,0,2,0,33.85,1.85,1.0
bristre01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,1,0,0,0,1.25,0.0,1.0
edwarto01w,2,2,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,22,0,8,0,157.50000000000003,42.85,1.0
enissh01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,11,8,0,279.2,47.050000000000004,1.0
erbsu01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,18,0,4,0,74.49999999999999,7.6499999999999995,1.0
feastal01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,501.4500000000001,107.29999999999998,1.0
machacl01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,30,8,8,0,254.75,54.40000000000001,1.0
milleke01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,26,0,2,0,91.69999999999999,1.9000000000000001,1.0
smithch02w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,30,24,8,8,288.75,93.4,1.0
staleda01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,475.4,129.65,1.0
stinsan01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,534.0,134.39999999999998,1.0
suttota01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,29,21,8,8,289.59999999999997,80.25,1.0
anderke01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,7,0,0,0,13.35,0.0,1.0
edwarto01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,29,0,2,0,154.09999999999997,6.800000000000001,1.0
enissh01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,4,0,1,0,28.9,1.4,1.0
erbsu01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,31,3,2,0,143.09999999999997,8.299999999999999,1.0
feastal01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,32,2,2,511.1,28.85,1.0
lambesh01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,3,0,0,0,5.550000000000001,0.0,1.0
milleke01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,0,2,0,275.54999999999995,6.15,1.0
owenssh01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,2,0,0,0,1.7000000000000002,0.0,1.0
shakiel01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,1,0,0,0,2.3000000000000003,0.0,1.0
smithch02w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,32,2,2,394.69999999999993,21.749999999999996,1.0
staleda01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,32,2,2,450.75,31.450000000000006,1.0
stinsan01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,32,2,2,515.7,37.2,1.0
suttota01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,32,29,2,2,482.65,22.200000000000003,1.0
brownru01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,5,2,1,202.3000000000001,16.000000000000004,1.0
brumfma01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,25,0,2,0,42.40000000000001,3.400000000000001,1.0
enissh01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,29,20,2,2,325.24999999999994,24.799999999999997,1.0
feastal01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,34,2,2,557.8999999999999,29.650000000000002,1.0
lewisty01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,23,0,2,0,105.45,17.199999999999996,1.0
mckivte01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,31,1,2,0,164.45000000000005,3.7500000000000004,1.0
milleke01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,0,2,0,251.5,10.05,1.0
smithch02w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,27,9,2,0,175.20000000000005,2.95,1.0
staleda01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,34,2,2,448.75,27.450000000000006,1.0
stinsan01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,34,2,2,492.4,39.69999999999999,1.0
suttota01w,4,0,0.0,CHA,CHA,EA,2,1,L,,,18,16,34,13,4,5,12,12,12,0.0,2.0,laceytr99w,0,18,16,0,2,34,33,2,1,424.05,11.2,0.0
andrame01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,12,0,0,0,22.15000000000001,0.0,0.0
bjorkte01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,4,0,0,0,3.5500000000000003,0.0,0.0
feastal01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,33,32,0,0,501.6000000000001,0.0,0.0
frettla01w,5,1,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,10,0,0,0,25.200000000000003,0.0,0.0
lewisty01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,2,0,0,305.00000000000006,0.0,0.0
mazzake01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,0,0,0,132.3,0.0,0.0
mckivte01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,9,0,0,0,44.3,0.0,0.0
perkiji01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,4,0,0,0,7.5,0.0,0.0
powelni01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,31,0,0,0,187.8,0.0,0.0
scottol01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,0,0,0,147.75000000000003,0.0,0.0
smithch02w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,34,0,0,422.35,0.0,0.0
staleda01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,34,0,0,476.80000000000007,0.0,0.0
stinsan01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,34,0,0,326.84999999999997,0.0,0.0
suttota01w,5,0,0.0,CHA,CHA,EA,5,0,,,,16,18,34,10,7,6,11,8,12,,,laceytr99w,0,16,18,0,0,34,34,0,0,477.80000000000007,0.0,0.0
darlihe01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,31,11,0,0,229.25,0.0,0.0
feastal01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,21,21,0,0,285.75,0.0,0.0
goodsad01w,6,2,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,10,0,0,0,92.34999999999998,0.0,0.0
lewisty01w,6,1,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,10,1,0,0,71.85000000000001,0.0,0.0
matteca01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,10,0,0,0,20.349999999999994,0.0,0.0
mazzake01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,27,2,0,0,102.80000000000001,0.0,0.0
mccarja01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,28,3,0,0,118.50000000000004,0.0,0.0
mckivte01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,31,1,0,0,167.20000000000002,0.0,0.0
mooreje01w,6,1,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,6,0,0,0,12.85,0.0,0.0
perkiji01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,30,11,0,0,206.00000000000006,0.0,0.0
rasmukr01w,6,2,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,3,0,0,0,12.299999999999997,0.0,0.0
samsh01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,34,33,0,0,508.5,0.0,0.0
smithta01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,31,31,0,0,524.3,0.0,0.0
staleda01w,6,1,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,23,23,0,0,274.1,0.0,0.0
suttota01w,6,0,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,34,33,0,0,434.1,0.0,0.0
walkeay01w,6,2,0.0,CHA,CHA,EA,6,0,,,,6,28,34,5,12,1,16,4,16,,,boguemu01w,2,3,7,0,0,9,0,0,0,33.9,0.0,0.0
bondla01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,34,5,0,0,276.55,0.0,0.0
currimo01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,34,33,0,0,457.55000000000007,0.0,0.0
darlihe01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,29,29,0,0,258.15,0.0,0.0
feastal01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,32,1,0,0,117.85000000000001,0.0,0.0
flukety01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,31,1,0,0,134.7,0.0,0.0
leuchye01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,4,0,0,0,17.349999999999994,0.0,0.0
mazzake01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,34,0,0,0,396.7500000000001,0.0,0.0
mccarja01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,30,3,0,0,205.9,0.0,0.0
samsh01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,34,34,0,0,493.8,0.0,0.0
smithta01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,34,34,0,0,537.9499999999999,0.0,0.0
suttota01w,7,0,0.0,CHA,CHA,EA,6,0,,,,11,23,34,7,10,4,13,6,14,,,boguemu01w,0,11,23,0,0,30,30,0,0,431.8,0.0,0.0
brownco01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,15,2,0,0,97.54999999999998,0.0,0.0
cronika01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,11,0,0,0,47.95,0.0,0.0
dalesst01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,23,16,0,0,218.4,0.0,0.0
dupreca01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,34,31,0,0,556.0000000000001,0.0,0.0
jacksde01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,22,1,0,0,168.3,0.0,0.0
lassiam01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,32,29,0,0,378.54999999999995,0.0,0.0
lovelst01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,34,6,0,0,329.30000000000007,0.0,0.0
mccrani01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,11,2,0,0,33.75,0.0,0.0
moeggli01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,27,1,0,0,112.00000000000001,0.0,0.0
newtoch01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,27,11,0,0,288.95000000000005,0.0,0.0
ngoyibe01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,30,23,0,0,351.70000000000005,0.0,0.0
perkiji01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,30,27,0,0,406.85,0.0,0.0
powelel01w,7,1,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,14,3,0,0,107.05,0.0,0.0
robinas01w,7,1,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,12,5,0,0,50.099999999999994,0.0,0.0
wyckobr01w,7,0,0.0,CHI,CHI,EA,7,0,,,,5,29,34,3,14,2,15,4,16,,,cowenda01w,0,5,29,0,0,15,13,0,0,132.39999999999998,0.0,0.0
cantydo01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,30,27,0,0,364.8499999999999,0.0,0.0
chriska01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,23,7,0,0,87.25,0.0,0.0
coggicl01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,20,0,0,0,82.05,0.0,0.0
currimo01w,8,1,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,2,2,0,0,36.550000000000004,0.0,0.0
dalesst01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,31,30,0,0,423.49999999999994,0.0,0.0
dupreca01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,33,33,0,0,625.15,0.0,0.0
joensca01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,19,0,0,0,137.64999999999998,0.0,0.0
melvich01w,8,2,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,29,25,0,0,408.25,0.0,0.0
moeggli01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,23,0,0,0,72.70000000000002,0.0,0.0
perkiji01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,33,5,0,0,444.15000000000003,0.0,0.0
pricear01w,8,0,5.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,34,34,0,0,427.35000000000014,0.0,0.0
raymost01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,20,0,0,0,88.04999999999998,0.0,0.0
thomaca01w,8,0,0.0,CHI,CHI,EA,6,0,,,,14,20,34,6,11,8,9,6,14,,,overtbo99w,0,14,20,0,0,17,0,0,0,60.75000000000001,0.0,0.0
